avg_vote,metascore,tomatometer_score,audience_score,usa_gross_income,worldwide_gross_income
6.1,58.0,59%,41%, 83015089,214015089
5.6,,41%,31%, 28735315,28735315
7.3,41.0,67%,84%, 127175374,247275374
7.8,70.0,92%,88%, 5887457,5887457
5.2,51.0,27%,20%, 3134381,3134381
6.3,,82%,68%, 514775,514775
4.9,38.0,22%,24%, 130531208,341631208
8.8,82.0,71%,95%, 330455270,678151134
7.0,81.0,96%,74%, 52700832,245700832
6.4,,100%,Nan, 22006296,112006296
7.6,81.0,67%,85%, 8094616,8094616
6.2,,65%,39%, 3291163,3291163
5.0,,10%,27%, 2308390,2308390
6.2,46.0,57%,47%, 27058304,27058304
5.3,,15%,34%, 3411885,3411885
7.3,,92%,83%, 3049135,3049135
6.0,,14%,55%, 26325256,26325256
7.2,53.0,58%,79%, 2816518,2816518
5.3,,22%,33%, 30806194,30806194
5.5,,61%,42%, 10424645,10424645
6.2,66.0,44%,47%, 26381221,26381221
5.3,,9%,40%, 21355893,21355893
6.3,64.0,71%,54%, 37939757,37939757
5.6,,29%,28%, 70936,70936
6.6,,61%,91%, 20851521,20851521
4.8,,17%,50%, 7557877,7557877
5.3,,22%,27%, 3783003,3783003
6.0,63.0,94%,86%, 43229904,43229904
4.6,59.0,36%,22%, 36763355,108431355
6.5,,36%,64%, 418961,418961
7.0,85.0,94%,76%, 5842603,5842603
7.5,45.0,58%,87%, 66638883,160638883
4.6,,0%,29%, 2260622,2260622
8.5,88.0,52%,88%, 422783777,968511805
6.4,,36%,63%, 19306362,19306362
6.7,62.0,61%,70%, 1095885,1095885
6.3,45.0,23%,70%, 52125282,67308282
7.3,87.0,71%,83%, 50083616,50083616
6.0,55.0,86%,71%, 18272894,18272894
6.0,,0%,71%, 29392418,29392418
5.6,,5%,45%, 30626182,30626182
6.9,56.0,77%,68%, 119938730,351583407
7.0,62.0,66%,71%, 101631272,183031272
5.5,14.0,10%,47%, 6821850,6821850
7.2,63.0,78%,84%, 15119639,15482277
7.3,74.0,46%,81%, 50282766,50282766
6.5,,55%,64%, 33683817,106683817
4.4,36.0,7%,24%, 8914777,15876353
6.1,,47%,62%, 15339030,15339030
7.4,86.0,24%,35%, 39491975,39491975
4.5,,14%,27%, 7182747,7182747
4.6,33.0,10%,34%, 38590458,38590458
6.1,,21%,48%, 13670688,13670688
6.6,,88%,65%, 38824341,48424341
7.5,88.0,96%,87%, 24822619,24822619
6.3,,24%,59%, 1316865,1316865
6.6,67.0,66%,74%, 20982557,33351557
6.9,,72%,73%, 11439193,11439193
6.2,44.0,12%,53%, 24332324,24332324
6.4,,56%,51%, 46816343,94216343
5.9,,41%,44%, 6562513,6562513
6.4,57.0,71%,65%, 144833357,189833357
7.5,,95%,87%, 6159269,6159269
6.7,64.0,63%,72%, 7820688,7820688
6.1,,35%,44%, 32063435,48063435
7.3,67.0,69%,83%, 2079569,2079569
9.3,80.0,90%,98%, 28699976,28781790
6.0,,22%,39%, 3180674,3180674
5.6,,7%,29%, 57362582,170362582
7.2,78.0,94%,76%, 121248145,350448145
6.0,,60%,55%, 3342223,3342223
7.1,42.0,52%,73%, 71567262,196567262
3.9,,10%,20%, 33423521,99431786
6.2,41.0,25%,47%, 7727256,7727256
6.4,,50%,66%, 9771658,9771658
5.9,,50%,52%, 8247627,11047627
5.5,,20%,22%, 16487349,16487349
6.3,,27%,66%, 11373501,11373501
5.9,48.0,44%,36%, 44853581,101646581
6.4,64.0,80%,66%, 18090181,19721741
6.2,,71%,69%, 65002597,131002597
6.7,47.0,44%,61%, 25052000,25052000
6.8,67.0,91%,77%, 60079496,107879496
7.6,77.0,96%,87%, 173837933,355237933
6.3,,14%,45%, 30303072,30303072
6.0,,36%,56%, 259724,259724
6.7,83.0,97%,67%, 63658910,254134910
5.8,,67%,47%, 9685976,9685976
6.9,41.0,43%,78%, 65807024,141407024
5.4,,10%,35%, 3674841,3674841
5.4,51.0,39%,32%, 184069126,336567531
8.1,77.0,100%,93%, 5535405,5986708
6.6,,39%,71%, 5750110,5750110
5.6,,0%,46%, 17736619,17736619
6.4,16.0,40%,79%, 25588734,26488734
6.7,54.0,41%,76%, 1268636,1268636
6.5,61.0,74%,69%, 23440188,23440188
6.0,54.0,62%,46%, 46576136,46576136
8.3,68.0,78%,85%, 75609945,213216216
7.6,66.0,90%,87%, 71516617,182016617
6.6,73.0,89%,60%, 10426506,10426506
8.2,73.0,80%,93%, 42512375,116112375
6.1,49.0,50%,49%, 100328194,287928194
6.9,71.0,71%,74%, 13071518,13071518
6.8,68.0,81%,76%, 56631572,56631572
5.2,22.0,22%,29%, 81022101,152022101
6.6,54.0,78%,64%, 32051917,32051917
7.3,66.0,88%,83%, 91387195,157387195
6.3,46.0,75%,53%, 868979,868979
5.7,37.0,38%,40%, 10017322,10017322
6.5,47.0,28%,64%, 84919401,179519401
7.6,62.0,71%,88%, 1037847,1037847
7.5,80.0,95%,86%, 39363635,39363635
6.9,,44%,78%, 24147179,24147179
7.2,55.0,63%,79%, 25405445,25405445
6.7,78.0,88%,70%, 16140822,16140822
7.6,58.0,58%,83%, 100012499,366236538
6.7,63.0,69%,68%, 22150451,68792531
4.3,13.0,79%,65%, 11534477,11534477
5.6,48.0,48%,49%, 49666,49666
6.0,,44%,55%, 37600435,127600435
6.7,,27%,69%, 3987768,3987768
6.8,,13%,69%, 4257354,4257354
7.3,54.0,78%,91%, 27467564,28215918
6.9,82.0,87%,70%, 72101622,115101622
7.2,65.0,78%,83%, 106429941,352194034
7.0,,50%,56%, 559771,559771
6.7,46.0,17%,62%, 71518503,71518503
6.2,46.0,33%,68%, 7563728,7563728
8.2,76.0,17%,26%, 67436818,187436818
5.3,,20%,39%, 12201255,12201255
6.6,56.0,63%,72%, 17519169,17519169
6.3,,61%,63%, 23600020,41200020
6.0,,29%,47%, 6609661,6609661
7.2,53.0,59%,73%, 8924549,8924549
6.5,,64%,69%, 2210408,2210408
6.0,58.0,73%,40%, 35656131,35656131
5.3,,14%,27%, 9851610,9851610
5.7,45.0,31%,35%, 2473668,2473668
5.7,,13%,31%, 19075720,19075720
5.6,,19%,30%, 34693481,113493481
7.0,39.0,54%,62%, 100499940,262821940
4.7,34.0,5%,27%, 13406717,13406717
7.1,63.0,46%,77%, 7412216,7412216
5.9,,88%,75%, 14942422,14942422
7.5,82.0,91%,85%, 32029928,32029928
7.7,83.0,97%,88%, 10015449,10015449
7.5,81.0,88%,87%, 1111790,1111790
6.1,,63%,52%, 13294422,13294422
6.4,,45%,73%, 7603766,7603766
7.1,41.0,56%,82%, 2122561,2122561
5.7,,22%,29%, 35431113,35431113
5.8,58.0,47%,57%, 70454098,122195920
7.3,59.0,75%,83%, 82569971,106269971
5.9,51.0,40%,44%, 50727965,110627965
5.2,,15%,39%, 6858261,6858261
6.7,,64%,84%, 3565508,3565508
6.3,,32%,47%, 8175346,8175346
7.1,66.0,74%,74%, 13681765,13681765
5.8,,28%,68%, 15843,15843
6.9,,67%,64%, 2844379,2844379
6.6,65.0,60%,56%, 67659560,189859560
6.6,55.0,83%,55%, 472370,472370
5.6,,10%,44%, 3983912,3983912
6.0,,65%,59%, 2832826,2832826
6.7,58.0,55%,64%, 141579773,346079773
6.6,,50%,69%, 30862156,30862156
6.5,,43%,64%, 16115878,16115878
6.4,49.0,57%,53%, 18636537,18636537
6.6,66.0,70%,59%, 4005941,4005941
7.4,,84%,79%, 2684904,2748518
6.9,55.0,73%,75%, 31596911,31596911
6.4,,29%,57%, 12096881,12096881
6.3,56.0,92%,89%, 53672080,53672080
7.2,76.0,58%,59%, 512245,512245
5.3,,13%,41%, 10382407,10382407
6.4,,29%,45%, 5711695,5711695
7.6,84.0,98%,90%, 43182776,134582776
4.8,16.0,20%,37%, 20350754,20350754
7.4,70.0,93%,89%, 8367636,8367636
5.8,49.0,43%,31%, 60074103,113374103
6.6,,50%,33%, 99318,99318
5.8,,51%,39%, 20350171,64350171
7.1,66.0,78%,79%, 382928,382928
5.3,46.0,41%,63%, 4064495,4064495
6.8,46.0,33%,72%, 529766,529766
6.1,,13%,52%, 7027517,7027517
4.2,,0%,32%, 5093707,5093707
6.6,42.0,25%,61%, 340139,340139
8.3,95.0,100%,92%, 222498679,406594102
5.5,52.0,35%,38%, 50024083,104324083
8.1,,86%,96%, 171082,171082
8.5,77.0,89%,96%, 23341568,23341568
4.6,27.0,10%,31%, 19751736,19751736
5.6,41.0,92%,77%, 9418365,9418365
5.6,39.0,32%,32%, 24047675,24047675
5.9,,56%,79%, 67052156,81452156
6.7,54.0,44%,75%, 50008143,50008143
